,prices,address,beds,links
0,421900.0, 1258 Dekalb Ave NE APT 128 Atlanta GA 30307 ,"<ul class=""list-card-details""><li class="""">2<abbr class=""list-card-label""> <!-- -->bds</abbr></li><li class="""">2<abbr class=""list-card-label""> <!-- -->ba</abbr></li><li class="""">1538<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- Townhouse for sale</li></ul>","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/1258-Dekalb-Ave-NE-APT-128-Atlanta-GA-30307/70830384_zpid/ "
1,184900.0, 2230 Cheshire Bridge Rd #501 Atlanta GA 30324 ,"<ul class=""list-card-details""><li class="""">1<abbr class=""list-card-label""> <!-- -->bd</abbr></li><li class="""">1<abbr class=""list-card-label""> <!-- -->ba</abbr></li><li class="""">723<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- Condo for sale</li></ul>","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/2230-Cheshire-Bridge-Rd-501-Atlanta-GA-30324/71753514_zpid/ "
2,454900.0, 2873 Overlook Way Atlanta GA 30324 ,"<ul class=""list-card-details""><li class="""">3<abbr class=""list-card-label""> <!-- -->bds</abbr></li><li class="""">3.5<abbr class=""list-card-label""> <!-- -->ba</abbr></li><li class="""">2220<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- Condo for sale</li></ul>","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/2873-Overlook-Way-Atlanta-GA-30324/88814174_zpid/ "
3,199900.0, 2 Finch Trl NE Atlanta GA 30308 ,"<ul class=""list-card-details""><li class="""">1<abbr class=""list-card-label""> <!-- -->bd</abbr></li><li class="""">1<abbr class=""list-card-label""> <!-- -->ba</abbr></li><li class="""">797<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- Condo for sale</li></ul>","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/2-Finch-Trl-NE-Atlanta-GA-30308/35881202_zpid/ "
4,299900.0, 307 Cherokee Ave SE #10 Atlanta GA 30312 ,"<ul class=""list-card-details""><li class="""">1<abbr class=""list-card-label""> <!-- -->bd</abbr></li><li class="""">1.5<abbr class=""list-card-label""> <!-- -->ba</abbr></li><li class="""">920<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- Condo for sale</li></ul>","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/307-Cherokee-Ave-SE-10-Atlanta-GA-30312/65461076_zpid/ "
5,169900.0, 2700 Pine Tree Rd NE UNIT 2307 Atlanta GA 30324 ,"<ul class=""list-card-details""><li class="""">1<abbr class=""list-card-label""> <!-- -->bd</abbr></li><li class="""">1<abbr class=""list-card-label""> <!-- -->ba</abbr></li><li class="""">748<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- Condo for sale</li></ul>","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/2700-Pine-Tree-Rd-NE-UNIT-2307-Atlanta-GA-30324/65466655_zpid/ "
6,289000.0, 1765 Versailles Dr SW Atlanta GA 30331 ,"<ul class=""list-card-details""><li class="""">4<abbr class=""list-card-label""> <!-- -->bds</abbr></li><li class="""">4<abbr class=""list-card-label""> <!-- -->ba</abbr></li><li class="""">2560<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- House for sale</li></ul>","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/1765-Versailles-Dr-SW-Atlanta-GA-30331/35889249_zpid/ "
7,629000.0, 4042 Moheb St SW Atlanta GA 30331 ,"<ul class=""list-card-details""><li class="""">4<abbr class=""list-card-label""> <!-- -->bds</abbr></li><li class="""">5<abbr class=""list-card-label""> <!-- -->ba</abbr></li><li class="""">4785<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- House for sale</li></ul>","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/4042-Moheb-St-SW-Atlanta-GA-30331/65461059_zpid/ "
8,32000.0, 140 Mount Zion Rd SE #18 Atlanta GA 30354 ,"<ul class=""list-card-details""><li class="""">2<abbr class=""list-card-label""> <!-- -->bds</abbr></li><li class="""">1<abbr class=""list-card-label""> <!-- -->ba</abbr></li><li class="""">--<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- Townhouse for sale</li></ul>","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/140-Mount-Zion-Rd-SE-18-Atlanta-GA-30354/2077784358_zpid/ "
9,391985.0, 4523 Bridgeway Rd Atlanta GA 30331 ,"<ul class=""list-card-details""><li class="""">6<abbr class=""list-card-label""> <!-- -->bds</abbr></li><li class="""">4<abbr class=""list-card-label""> <!-- -->ba</abbr></li><li class="""">3791<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- New construction</li></ul>","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/4523-Bridgeway-Rd-Atlanta-GA-30331/2080517809_zpid/ "
